Date,fips,vaccine
11-30-2021,24510,342532
11-30-2021,31107,3824
11-30-2021,37151,57745
11-30-2021,16053,9057
11-30-2021,1089,206319
11-30-2021,45011,10683
11-30-2021,12031,538099
11-30-2021,51043,8510
11-30-2021,48247,2624
11-30-2021,44009,90600
11-30-2021,49005,64307
11-30-2021,51025,7683
11-30-2021,36085,310903
11-30-2021,45031,29742
11-30-2021,17105,16801
11-30-2021,29169,29645
11-30-2021,21055,3371
11-30-2021,35015,24606
11-30-2021,20087,9516
11-30-2021,21125,22846
11-30-2021,31141,14234
11-30-2021,26041,21003
11-30-2021,37107,27762
11-30-2021,22075,13152
11-30-2021,6057,58132
11-30-2021,35053,10343
11-30-2021,26131,3802
11-30-2021,39055,52987
11-30-2021,48333,1992
11-30-2021,46115,3125
11-30-2021,27169,30003
11-30-2021,22099,19944
11-30-2021,22119,15263
11-30-2021,16069,19667
11-30-2021,13195,7060
11-30-2021,16001,257669
11-30-2021,24033,595860
11-30-2021,33007,19277
11-30-2021,39141,35793
11-30-2021,30065,1488
11-30-2021,48293,8012
11-30-2021,17085,15387
11-30-2021,12019,101785
11-30-2021,41013,11563
11-30-2021,55049,15087
11-30-2021,47163,82628
11-30-2021,51720,1236
11-30-2021,46111,1183
11-30-2021,48241,11863
11-30-2021,17191,6042
11-30-2021,51011,5099
11-30-2021,26043,15956
11-30-2021,48337,6447
11-30-2021,12029,5406
11-30-2021,55065,9252
11-30-2021,25003,65100
11-30-2021,37185,10085
11-30-2021,8103,2263
11-30-2021,26081,372512
11-30-2021,31079,26609
11-30-2021,55111,37444
11-30-2021,48375,48082
11-30-2021,49031,534
11-30-2021,39153,311338
11-30-2021,51031,21272
11-30-2021,47009,64481
11-30-2021,16041,5173
11-30-2021,29205,2634
11-30-2021,17053,6687
11-30-2021,37195,39403
11-30-2021,55043,26231
11-30-2021,55037,2271
11-30-2021,19173,2683
11-30-2021,12007,11199
11-30-2021,31137,3265
11-30-2021,39131,11299
11-30-2021,37137,6509
11-30-2021,25013,276503
11-30-2021,39151,184852
11-30-2021,20147,2145
11-30-2021,21203,6093
11-30-2021,2158,4949
11-30-2021,54057,9352
11-30-2021,22063,51786
11-30-2021,17001,32624
11-30-2021,5125,56081
11-30-2021,1077,39636
11-30-2021,13269,2385
11-30-2021,26029,15969
11-30-2021,39111,5672
11-30-2021,18093,20942
11-30-2021,37155,49598
11-30-2021,26141,7201
11-30-2021,13051,131159
11-30-2021,28151,19931
11-30-2021,48111,2932
11-30-2021,22059,5950
11-30-2021,51750,6308
11-30-2021,48493,24596
11-30-2021,1041,4342
11-30-2021,28147,5355
11-30-2021,18049,7497
11-30-2021,17101,6153
11-30-2021,49019,5937
11-30-2021,41041,33126
11-30-2021,42025,34233
11-30-2021,19167,13614
11-30-2021,16051,10372
11-30-2021,55017,34016
11-30-2021,13291,4039
11-30-2021,42039,37512
11-30-2021,2090,48897
11-30-2021,16021,3748
11-30-2021,29149,3032
11-30-2021,20069,2454
11-30-2021,31101,2743
11-30-2021,28083,16025
11-30-2021,6079,155562
11-30-2021,54053,8915
11-30-2021,51179,77129
11-30-2021,19133,4359
11-30-2021,22033,226619
11-30-2021,12005,83084
11-30-2021,31051,2256
11-30-2021,40129,1208
11-30-2021,8111,646
11-30-2021,21179,21885
11-30-2021,37057,72757
11-30-2021,17065,2785
11-30-2021,17127,5119
11-30-2021,53009,49335
11-30-2021,13089,254810
11-30-2021,53027,40790
11-30-2021,26063,15851
11-30-2021,48237,3301
11-30-2021,20199,535
11-30-2021,21013,11110
11-30-2021,55061,9882
11-30-2021,51620,2926
11-30-2021,54095,1659
11-30-2021,18153,9589
11-30-2021,1057,5237
11-30-2021,31151,6704
11-30-2021,19051,3074
11-30-2021,21175,6006
11-30-2021,51730,10447
11-30-2021,53049,11599
11-30-2021,32009,340
11-30-2021,56019,3307
11-30-2021,48153,2403
11-30-2021,31103,218
11-30-2021,48195,2156
11-30-2021,48287,7512
11-30-2021,19127,23561
11-30-2021,1083,33482
11-30-2021,19085,6758
11-30-2021,20167,2754
11-30-2021,12057,829953
11-30-2021,37035,80627
11-30-2021,23029,20763
11-30-2021,40083,15004
11-30-2021,46127,7465
11-30-2021,48185,13690
11-30-2021,51115,5043
11-30-2021,12081,231316
11-30-2021,27017,21069
11-30-2021,41069,704
11-30-2021,28163,13322
11-30-2021,2275,1371
11-30-2021,6011,11499
11-30-2021,17121,15516
11-30-2021,37131,8623
11-30-2021,47139,6636
11-30-2021,21035,16294
11-30-2021,5133,7039
11-30-2021,55135,25580
11-30-2021,6035,10681
11-30-2021,32001,11182
11-30-2021,8057,583
11-30-2021,56033,14235
11-30-2021,55011,6087
11-30-2021,37099,21404
11-30-2021,40007,1520
11-30-2021,38045,1836
11-30-2021,39043,40836
11-30-2021,27079,12722
11-30-2021,1073,346183
11-30-2021,51155,14137
11-30-2021,31085,210
11-30-2021,31057,572
11-30-2021,37125,53255
11-30-2021,48029,1248392
11-30-2021,48105,1474
11-30-2021,45035,79392
11-30-2021,40085,4006
11-30-2021,17049,15339
11-30-2021,40133,11678
11-30-2021,12083,194180
11-30-2021,21201,748
11-30-2021,6055,95720
11-30-2021,48201,2716010
11-30-2021,38081,2155
11-30-2021,13011,2880
11-30-2021,55031,17200
11-30-2021,1021,14765
11-30-2021,5089,5577
11-30-2021,16047,5618
11-30-2021,1123,14635
11-30-2021,10003,342709
11-30-2021,22035,2832
11-30-2021,8123,177009
11-30-2021,17087,5686
11-30-2021,31109,194202
11-30-2021,32005,23592
11-30-2021,27157,14618
11-30-2021,5139,17127
11-30-2021,32031,278423
11-30-2021,2290,3308
11-30-2021,53017,24671
11-30-2021,20129,976
11-30-2021,49051,18027
11-30-2021,27131,38874
11-30-2021,39091,17996
11-30-2021,23001,68636
11-30-2021,29029,19459
11-30-2021,28089,62324
11-30-2021,13037,1429
11-30-2021,29019,101110
11-30-2021,51135,6398
11-30-2021,47187,143998
11-30-2021,54029,6755
11-30-2021,34011,67903
11-30-2021,36019,53595
11-30-2021,23027,25963
11-30-2021,40137,18804
11-30-2021,37007,10331
11-30-2021,40061,4774
11-30-2021,47143,13266
11-30-2021,19065,10055
11-30-2021,35017,17078
11-30-2021,22029,7233
11-30-2021,48027,196910
11-30-2021,48213,29881
11-30-2021,28145,10545
11-30-2021,18037,22755
11-30-2021,40139,8006
11-30-2021,47063,25621
11-30-2021,48231,38801
11-30-2021,48131,6192
11-30-2021,54013,916
11-30-2021,18053,25737
11-30-2021,21063,2463
11-30-2021,12049,10445
11-30-2021,40125,32044
11-30-2021,1017,9575
11-30-2021,17179,72459
11-30-2021,42021,65399
11-30-2021,28107,14672
11-30-2021,30001,4797
11-30-2021,39145,34479
11-30-2021,49037,8241
11-30-2021,37023,38956
11-30-2021,47161,5398
11-30-2021,48103,1585
11-30-2021,21127,6607
11-30-2021,53075,21243
11-30-2021,8107,17869
11-30-2021,25025,533703
11-30-2021,8087,12532
11-30-2021,13175,12285
11-30-2021,47149,162404
11-30-2021,19003,1837
11-30-2021,47005,6645
11-30-2021,29187,26964
11-30-2021,48435,1547
11-30-2021,28141,6991
11-30-2021,48021,45662
11-30-2021,31023,3764
11-30-2021,54063,4007
11-30-2021,36045,70717
11-30-2021,21161,8006
11-30-2021,50019,14418
11-30-2021,13233,7034
11-30-2021,20175,8762
11-30-2021,38101,28274
11-30-2021,46047,3902
11-30-2021,20187,931
11-30-2021,53029,51769
11-30-2021,21181,3554
11-30-2021,9005,127086
11-30-2021,48313,5312
11-30-2021,19161,4824
11-30-2021,37191,57509
11-30-2021,31037,4468
11-30-2021,51165,33798
11-30-2021,36053,40157
11-30-2021,47019,21105
11-30-2021,51143,24015
11-30-2021,48073,18835
11-30-2021,48159,3605
11-30-2021,20021,8425
11-30-2021,8067,36855
11-30-2021,13003,1529
11-30-2021,26157,22583
11-30-2021,29035,1830
11-30-2021,29133,5352
11-30-2021,42091,506713
11-30-2021,35013,146846
11-30-2021,37061,22565
11-30-2021,1001,20677
11-30-2021,30063,71285
11-30-2021,47137,2083
11-30-2021,40005,4520
11-30-2021,40045,1266
11-30-2021,48089,10242
11-30-2021,29173,2730
11-30-2021,8003,8311
11-30-2021,38003,5583
11-30-2021,20063,1193
11-30-2021,13035,3784
11-30-2021,27005,17332
11-30-2021,30091,1514
11-30-2021,46019,3831
11-30-2021,27001,8815
11-30-2021,29195,9911
11-30-2021,17197,418016
11-30-2021,19053,2977
11-30-2021,24003,403928
11-30-2021,38055,3912
11-30-2021,41027,18035
11-30-2021,19139,23849
11-30-2021,40113,14949
11-30-2021,48229,2902
11-30-2021,54023,1591
11-30-2021,13249,1021
11-30-2021,55067,9698
11-30-2021,39123,23275
11-30-2021,29131,7898
11-30-2021,13125,443
11-30-2021,55127,51413
11-30-2021,23017,35993
11-30-2021,37165,15028
11-30-2021,40117,7464
11-30-2021,28153,7190
11-30-2021,41019,55389
11-30-2021,31091,273
11-30-2021,23011,79749
11-30-2021,4013,2309677
11-30-2021,13267,3804
11-30-2021,41063,4027
11-30-2021,40069,4251
11-30-2021,13219,11502
11-30-2021,29141,7204
11-30-2021,34005,301632
11-30-2021,37187,5291
11-30-2021,13029,13747
11-30-2021,1119,5724
11-30-2021,13255,11778
11-30-2021,51770,39458
11-30-2021,48495,2840
11-30-2021,48387,4634
11-30-2021,19129,7583
11-30-2021,13049,1797
11-30-2021,38037,473
11-30-2021,50003,13841
11-30-2021,5097,3099
11-30-2021,47185,10892
11-30-2021,40109,467010
11-30-2021,55083,18687
11-30-2021,48091,85857
11-30-2021,13295,17451
11-30-2021,27123,352860
11-30-2021,27163,164342
11-30-2021,54059,5838
11-30-2021,48173,555
11-30-2021,13105,3945
11-30-2021,38005,3222
11-30-2021,42105,5149
11-30-2021,46029,14075
11-30-2021,42123,16895
11-30-2021,29007,8892
11-30-2021,6049,0
11-30-2021,31183,229
11-30-2021,40031,67420
11-30-2021,30005,5019
11-30-2021,28067,26878
11-30-2021,21141,12828
11-30-2021,39133,85211
11-30-2021,51678,2900
11-30-2021,35001,432244
11-30-2021,47011,41637
11-30-2021,48033,207
11-30-2021,22027,6031
11-30-2021,20019,1241
11-30-2021,36039,27405
11-30-2021,22121,13167
11-30-2021,46083,31989
11-30-2021,47113,49469
11-30-2021,42055,67258
11-30-2021,53061,521221
11-30-2021,12017,79871
11-30-2021,27093,10142
11-30-2021,28041,4726
11-30-2021,45029,16701
11-30-2021,8051,11214
11-30-2021,47173,6490
11-30-2021,48035,7928
11-30-2021,54081,16157
11-30-2021,36109,74548
11-30-2021,26009,12833
11-30-2021,20045,68323
11-30-2021,29135,5435
11-30-2021,41021,802
11-30-2021,1075,5563
11-30-2021,2050,10930
11-30-2021,36121,18883
11-30-2021,31131,8211
11-30-2021,54073,1058
11-30-2021,27063,4685
11-30-2021,55107,5398
11-30-2021,26119,4830
11-30-2021,38053,2963
11-30-2021,22003,8557
11-30-2021,16081,6637
11-30-2021,12097,248144
11-30-2021,13193,2712
11-30-2021,39097,20892
11-30-2021,5081,4468
11-30-2021,17115,50896
11-30-2021,17149,5897
11-30-2021,48199,20106
11-30-2021,48297,4806
11-30-2021,18071,21661
11-30-2021,1121,27080
11-30-2021,17059,2391
11-30-2021,4001,54631
11-30-2021,18003,184127
11-30-2021,9013,93279
11-30-2021,5005,18526
11-30-2021,19171,9814
11-30-2021,17117,22956
11-30-2021,19115,5384
11-30-2021,27097,14798
11-30-2021,22057,40301
11-30-2021,27045,13338
11-30-2021,42133,231631
11-30-2021,36095,16379
11-30-2021,16083,36061
11-30-2021,55103,9389
11-30-2021,28009,3873
11-30-2021,4015,80497
